Newspapers|LCCN|OCLC|ISSN|State|County|City|Geo Location|Browse Digitized Issues|Number of Issues|First Issue|Last Issue|Essay Available|Languages|Ethnicity
The American Issue (Westerville, Ohio) 1912-19??|sn2008060406|30577976|2769-4380|Ohio|Delaware|Westerville|40.125943, -82.931621|https://www.loc.gov/item/sn2008060406/?st=calendar|492|1912-02-16|1932-05-01|True|English|
The American Jewish World (Minneapolis ; St. Paul) 1915-Current|sn78004468|1480115|0002-9084|Minnesota|Hennepin, Ramsey|Minneapolis, Saint Paul|44.94441, -93.09327|https://www.loc.gov/item/sn78004468/?st=calendar|381|1915-09-10|1922-12-29|True|English|Jewish
American Lancaster Gazette (Lancaster, Ohio) 1855-1860|sn85026105|12036241|2373-1184|Ohio|Fairfield|Lancaster|39.713651, -82.599281|https://www.loc.gov/item/sn85026105/?st=calendar|161|1855-02-15|1860-03-29|True|English|
American Mechanic and Home Journal (Norwich, Conn.) 1849-18??|sn93053981|28154582|2642-7087|Connecticut|New London|Norwich|41.524304, -72.075821|https://www.loc.gov/item/sn93053981/?st=calendar|2|1849-11-16|1849-12-22|True|English|
The American Negro (Springfield, Mo.) 1890-1890|sn83025434|9467380|2835-625x|Missouri|Greene|Springfield|37.215521, -93.292361|https://www.loc.gov/item/sn83025434/?st=calendar|1|1890-10-25|1890-10-25|True|English|African American
The American Patriot (Clinton, La.) 1854-1???|sn88064450|17992070|2381-3997|Louisiana|East Feliciana|Clinton|30.8657271, -91.0178201|https://www.loc.gov/item/sn88064450/?st=calendar|51|1854-12-27|1856-01-12|True|English|
American Republican and Baltimore Daily Clipper (Baltimore, Md.) 1844-1846|sn83009567|9086206|2375-3390|Maryland||Baltimore|39.290443, -76.612333|https://www.loc.gov/item/sn83009567/?st=calendar|663|1844-11-11|1846-12-31|True|English|
American Telegraph (Washington [D.C.]) 1851-1851|sn82014594|8786426|2381-0157|District of Columbia||Washington, Georgetown, Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn82014594/?st=calendar|232|1851-03-24|1851-12-20|True|English|
American Telegraph (Washington [D.C.]) 1851-1851|sn82014594|8786426|2381-0157|Virginia||Washington, Georgetown, Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn82014594/?st=calendar|232|1851-03-24|1851-12-20|True|English|
The American Union (Martinsburg, Va. [W. Va.]) 1861-1861|sn84026772|10694157|2471-2116|West Virginia|Berkeley|Martinsburg|39.456216, -77.963914|https://www.loc.gov/item/sn84026772/?st=calendar|5|1861-07-04|1861-07-11|True|English|
American Union (Morgantown, Va. [W. Va.]) 1855-1859|sn86092124|13090962|2374-2135|West Virginia|Monongalia|Morgantown|39.6298107, -79.955946|https://www.loc.gov/item/sn86092124/?st=calendar|195|1855-06-30|1859-03-25|True|English|
American Watchman (Wilmington, Del.) 1814-1822|sn82014895|8795074|2576-7437|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn82014895/?st=calendar|18|1822-01-11|1822-03-12|True|English|
American Watchman and Delaware Advertiser (Wilmington, Del.) 1809-1828 [Microfilm Reel]|sn82014894|321084298, 8794858|2576-7445|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn82014894/?st=calendar|605|1822-03-15|1828-01-15|True|English|
The American (Washington [D.C.]) 1857-1857|sn82014015|8774818|2471-5239|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn82014015/?st=calendar|38|1857-07-31|1857-12-31|True|English|
Americus Times-Recorder (Americus, Ga.; [Americus, Ga.?]) 1891-Current|sn89053204|21134729|2768-6922|Georgia|Sumter|Americus|32.0732873, -84.2325501|https://www.loc.gov/item/sn89053204/?st=calendar|7277|1900-07-10|1925-11-30|True|English|
Amerikai Magyar Hirlap = American Magyar Journal (Youngstown, Ohio) 1911-1942|sn88078388|17694812|2689-0534|Ohio|Mahoning|Youngstown|41.09832, -80.650648|https://www.loc.gov/item/sn88078388/?st=calendar|1149|1920-01-01|1942-03-26|True|Hungarian, English|Hungarian
Amerikanski Srbobran (Pittsburg, Pa.; Pittsburgh, Pa.) 1906-Current|sn85055101|10637081||Pennsylvania|Allegheny|Pittsburgh|40.4421676, -79.9949573|https://www.loc.gov/item/sn85055101/?st=calendar|12140|1906-01-18|1963-12-30|True|Serbian, English|Serbian
Ameryka (Toledo, Ohio) 1893-1902|sn93054145|29502927|2578-1162|Ohio|Lucas|Toledo|41.655298, -83.535717|https://www.loc.gov/item/sn93054145/?st=calendar|465|1893-01-07|1902-11-29|True|Polish|
Ameryka (Toledo, Ohio) 1889-1891|sn93058750|27844877|2577-9826|Ohio|Lucas|Toledo|41.655298, -83.535717|https://www.loc.gov/item/sn93058750/?st=calendar|121|1889-09-21|1891-12-02|True|Polish|Polish
Ameryka Echo (Toledo, Ohio) 1902-1971|sn83045274|9402611|2578-1227|Ohio|Lucas, Cook|Toledo, Chicago|41.883229, -87.632398|https://www.loc.gov/item/sn83045274/?st=calendar|170|1902-12-06|1906-03-03|True|Polish|Polish
Ameryka Echo (Toledo, Ohio) 1902-1971|sn83045274|9402611|2578-1227|Illinois|Lucas, Cook|Toledo, Chicago|41.883229, -87.632398|https://www.loc.gov/item/sn83045274/?st=calendar|170|1902-12-06|1906-03-03|True|Polish|Polish
Ameryka W Toledo (Toledo, Ohio) 1891-1892|sn93054144|29502972|2578-1081|Ohio|Lucas|Toledo|41.655298, -83.535717|https://www.loc.gov/item/sn93054144/?st=calendar|14|1891-12-05|1892-01-20|True|Polish|Polish
Ameryka W Toledo I Kuryer Clevelandski (Toledo, Ohio) 1892-1892|sn93054143|29419934|2578-112x|Ohio|Lucas|Toledo|41.655298, -83.535717|https://www.loc.gov/item/sn93054143/?st=calendar|98|1892-01-23|1892-12-28|True|Polish|Polish
Among the Clouds (Mount Washington, N.H.) 1885-1917|ca05000846|4998591||New Hampshire|Coos|Mount Washington|44.27049, -71.30346|https://www.loc.gov/item/ca05000846/?st=calendar|1730|1885-07-11|1917-09-14|True|English|
The Anaconda Standard (Anaconda, Mont.) 1889-1970|sn84036012|10309820|2163-4483|Montana|Deer Lodge|Anaconda|46.128366, -112.941247|https://www.loc.gov/item/sn84036012/?st=calendar|3702|1889-09-04|1899-12-31|True|English|
Anadarko Daily Democrat (Anadarko, Okla.) 1901-190?|sn97070123|37339204|2163-8047|Oklahoma|Caddo|Anadarko|35.07491, -98.243698|https://www.loc.gov/item/sn97070123/?st=calendar|364|1901-09-30|1904-12-09|True|English|
Anadarko Daily Democrat (Anadarko, Okla.) 1908-191?|sn97070125|37339304|2163-8071|Oklahoma|Caddo|Anadarko|35.07491, -98.243698|https://www.loc.gov/item/sn97070125/?st=calendar|457|1908-11-20|1914-01-09|True|English|
Anadarko Morning Democrat (Anadarko, Okla.) 191?-191?|sn97070126|37339339|2163-8411|Oklahoma|Caddo|Anadarko|35.07491, -98.243698|https://www.loc.gov/item/sn97070126/?st=calendar|4|1911-07-17|1912-10-08|True|English|
Anchorage Daily Times and Cook Inlet Pioneer (Anchorage, Alaska) 1916-1917|2019271005|1124761350|2993-7507|Alaska||Anchorage|61.216583, -149.899597|https://www.loc.gov/item/2019271005/?st=calendar|308|1916-05-24|1917-05-28||English|
Anchorage Weekly Times and Alaska Labor News (Anchorage, Alaska) 1917-1918|2019271426|1129254785|2993-6764|Alaska||Anchorage|61.216583, -149.899597|https://www.loc.gov/item/2019271426/?st=calendar|38|1917-07-14|1918-08-15|True|English|
Anchorage Weekly Times and Cook Inlet Pioneer (Anchorage, Alaska) 1916-1917|2019271006|1128273140|2993-6748|Alaska||Anchorage|61.216583, -149.899597|https://www.loc.gov/item/2019271006/?st=calendar|14|1916-06-17|1916-09-16|True|English|
The Anderson Daily Intelligencer (Anderson, S.C.) 1914-1915|sn93067669|27828051|2166-9651|South Carolina|Anderson|Anderson|34.49987, -82.651189|https://www.loc.gov/item/sn93067669/?st=calendar|421|1914-01-13|1915-05-02|True|English|
The Anderson Intelligencer (Anderson Court House, S.C.) 1860-1914|sn84026965|10791998|2163-4394|South Carolina|Anderson|Anderson|34.49987, -82.651189|https://www.loc.gov/item/sn84026965/?st=calendar|2640|1860-08-14|1906-08-08|True|English|
The Anderson Intelligencer (Anderson, S.C.) 1914-1917|sn93067658|27828023|2166-9643|South Carolina|Anderson|Anderson|34.49987, -82.651189|https://www.loc.gov/item/sn93067658/?st=calendar|102|1914-03-24|1915-03-23|True|English|
The Anderson News (Lawrenceburg, Ky.) 18??-Current|sn86069242|13811513||Kentucky|Anderson|Lawrenceburg|38.034294, -84.895387|https://www.loc.gov/item/sn86069242/?st=calendar|201|1926-01-07|1929-12-26||English|
The Andrew County Republican (Savannah, Mo.) 1871-1876|sn85034076|12424213|2166-7624|Missouri|Andrew|Savannah|39.941609, -94.83161|https://www.loc.gov/item/sn85034076/?st=calendar|260|1871-11-01|1876-12-14|True|English|
The Anti-Monopolist (Saint Paul, Minn.) 1874-1878|sn85025587|11804785|2694-3352|Minnesota|Ramsey|Saint Paul|44.94441, -93.09327|https://www.loc.gov/item/sn85025587/?st=calendar|229|1874-07-16|1878-12-12|True|English|
Anti-Slavery Bugle (New-Lisbon, Ohio) 1845-1861|sn83035487|1321288|2166-1863|Ohio|Columbiana|New Lisbon, Salem|40.900991, -80.856699|https://www.loc.gov/item/sn83035487/?st=calendar|809|1845-06-20|1861-05-04|True|English|
Apache Drum Beat (San Carlos Apache Reservation, Ariz.) 1959-19??|sn90051695|21402603|2768-7155|Arizona|Gila|San Carlos|33.350339, -110.452458|https://www.loc.gov/item/sn90051695/?st=calendar|17|1960-04-01|1963-12-01|True|English|Indians of North America
The Apache Sentinel (Fort Huachuca, Arizona) 1943-1945|sn95060813|31640242|2692-6806|Arizona|Cochise|Fort Huachuca|31.555751, -110.361039|https://www.loc.gov/item/sn95060813/?st=calendar|87|1943-07-16|1945-04-27|True|English|
The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??|sn83016810|10157486|2163-7075|Minnesota|Ramsey, Hennepin, Cook|Saint Paul, Minneapolis, Chicago|41.883229, -87.632398|https://www.loc.gov/item/sn83016810/?st=calendar|1558|1889-02-23|1923-11-24|True|English|African American
The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??|sn83016810|10157486|2163-7075|Illinois|Ramsey, Hennepin, Cook|Saint Paul, Minneapolis, Chicago|41.883229, -87.632398|https://www.loc.gov/item/sn83016810/?st=calendar|1558|1889-02-23|1923-11-24|True|English|African American
The Arapahoe Agency Courier (Arapahoe Agency, Wyo.) 1???-1???|sn93070034|27334961||Wyoming|Wind River Indian Reservation||43.28111, -108.81542|https://www.loc.gov/item/sn93070034/?st=calendar|1|1888-01-01|1888-01-01|True|English|Indians of North America
Arbeidsmanden (Fertile, Minn. ; Crookston, Minn.) 1900-1901|sn90060760|1569118|2640-5962|Minnesota|Polk|Crookston, Fertile|47.528842, -96.280715|https://www.loc.gov/item/sn90060760/?st=calendar|45|1900-05-11|1901-03-29|True|Norwegian|Norwegian
The Argus (Holbrook, Ariz.) 1895-1900|sn94051341|25084608|2375-169x|Arizona|Navajo|Holbrook|34.9038, -110.158181|https://www.loc.gov/item/sn94051341/?st=calendar|220|1895-12-12|1900-05-05|True|English, Spanish|
The Argus (Rock Island, Ill.) 1885-1886|sn92053944|26846578|2377-7044|Illinois|Rock Island County|Rock Island|41.472348, -90.583568|https://www.loc.gov/item/sn92053944/?st=calendar|308|1885-10-01|1886-10-02|True|English|
The Arizona Cattleman (Tucson, Ariz.) 1917-1920|sn00060075|44801367||Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn00060075/?st=calendar|181|1917-03-10|1920-09-20|True|English|
The Arizona Champion (Peach Springs, Mohave County, A.T. [Ariz.]) 1883-1891|sn82016246|9252503|2157-2178|Arizona|Coconino, Mohave|Flagstaff, Peach Springs|35.529112, -113.425184|https://www.loc.gov/item/sn82016246/?st=calendar|362|1883-10-06|1891-05-16|True|English|
Arizona Citizen (Tucson, Pima County, A.T. [i.e. Ariz.]) 1870-1880|sn82014896|8793416|2165-8862|Arizona|Pima, Pinal|Tucson, Florence|33.023904, -111.387583|https://www.loc.gov/item/sn82014896/?st=calendar|487|1870-10-15|1880-04-10|True|English|
The Arizona Copper Camp (Ray, Ariz.) 1910-1920|sn95060578|33148741|2768-7309|Arizona|Pinal|Ray|33.183393, -110.997614|https://www.loc.gov/item/sn95060578/?st=calendar|274|1915-08-20|1920-12-25|True|English|
Arizona Daily Citizen (Tucson, Ariz. Territory [i.e. Ariz.]) 1884-1901|sn87062098|15304792|2692-6849|Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn87062098/?st=calendar|285|1900-04-26|1901-12-14|True|English|
The Arizona Daily Orb (Bisbee, Ariz.) 1898-1900|sn94050505|31197907|2158-4761|Arizona|Cochise|Bisbee|31.44183, -109.914939|https://www.loc.gov/item/sn94050505/?st=calendar|192|1899-07-15|1900-04-30|True|English|
The Arizona Gleam (Phoenix, Ariz.) 1929-193?|sn95060626|33668826|2692-6881|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn95060626/?st=calendar|166|1929-12-15|1937-11-26|True|English|African American
The Arizona Kicker (Tombstone, Ariz.) 1893-1913|sn95060900|33882850|2157-6726|Arizona|Cochise|Tombstone|31.714079, -110.06778|https://www.loc.gov/item/sn95060900/?st=calendar|2|1893-11-29|1898-10-12|True|English|
Arizona Miner (Fort Whipple, Ariz.; Prescott, Ariz.) 1864-1868|sn82016242|9251680|2165-9206|Arizona|Yavapai|Fort Whipple, Prescott|34.541852, -112.468708|https://www.loc.gov/item/sn82016242/?st=calendar|108|1864-03-09|1868-07-25|True|English|
Arizona Mining News (Jerome, Yavapai County, Ariz.) 1895-1897|sn94052353|30559747||Arizona|Yavapai|Jerome|34.749859, -112.114983|https://www.loc.gov/item/sn94052353/?st=calendar|1|1897-10-23|1897-10-23|True|English|
The Arizona Post (Tucson, Ariz.) 1946-1990|sn82000867|7254173|0744-1509|Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn82000867/?st=calendar|374|1946-09-24|1963-01-25|True|English|Jewish
The Arizona Range News (Willcox, Cochise County, A.T. [Ariz.]) 1897-Current|sn95060997|31613557||Arizona|Cochise|Willcox|32.25257, -109.832484|https://www.loc.gov/item/sn95060997/?st=calendar|815|1897-01-05|1912-12-27|True|English|
Arizona Republican (Phoenix, Ariz.) 1890-1930|sn84020558|2612512|2157-135x|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn84020558/?st=calendar|10727|1890-05-19|1922-06-29|True|English|
The Arizona Sentinel (Arizona City [Yuma], Yuma County, A.T. [Ariz.]) 1872-1911|sn84021912|2701984|2166-1928|Arizona|Yuma|Yuma, Arizona City|32.754863, -111.671103|https://www.loc.gov/item/sn84021912/?st=calendar|2025|1872-03-23|1911-09-21|True|English|
Arizona Sentinel (Yuma, Ariz.) 1916-1918|sn95060878|33811511|2166-9791|Arizona|Yuma|Yuma|32.722313, -114.62088|https://www.loc.gov/item/sn95060878/?st=calendar|89|1916-06-29|1918-03-07|True|English|
Arizona Sentinel and Yuma Weekly Examiner (Yuma, Ariz.) 1911-1915|sn95060876|33805457|2166-9775|Arizona|Yuma|Yuma|32.722313, -114.62088|https://www.loc.gov/item/sn95060876/?st=calendar|159|1911-09-28|1915-06-03|True|English|
Arizona Sentinel Yuma Southwest (Yuma, Ariz.) 1915-1916|sn95060877|33805301|2166-9783|Arizona|Yuma|Yuma|32.722313, -114.62088|https://www.loc.gov/item/sn95060877/?st=calendar|55|1915-06-10|1916-06-22|True|English|
Arizona Silver Belt (Globe City, Pinal County, Ariz.) 1878-19??|sn84021913|2702590|2157-1341|Arizona|Gila|Globe, Miami|33.3964655, -110.8730844|https://www.loc.gov/item/sn84021913/?st=calendar|1361|1878-05-02|1907-09-01|True|English|
Arizona State Miner (Wickenburg, Ariz.) 1919-1927|sn95060856|33444515|2768-7392|Arizona|Maricopa|Wickenburg|33.968892, -112.73006|https://www.loc.gov/item/sn95060856/?st=calendar|219|1919-08-01|1927-04-30|True|English|
Arizona Sun (Phoenix, Ariz.) 1942-196?|sn84021917|2701819|2692-692x|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn84021917/?st=calendar|793|1944-07-07|1963-12-27|True|English|African American
The Arizona Times (Tucson, Ariz.) 1926-19??|sn00060009|43452777||Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn00060009/?st=calendar|16|1926-09-03|1927-04-16|True|English|African American
Arizona Tribune (Phoenix, Ariz.) 1958-197?|sn84021918|2712104|2692-6946|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn84021918/?st=calendar|275|1958-07-25|1963-12-27|True|English|African American
Arizona Weekly Citizen (Tucson, Ariz) 1880-1901|sn82015133|8833021|2165-9141|Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn82015133/?st=calendar|769|1880-12-25|1896-12-26|True|English|
Arizona Weekly Enterprise (Florence, Pinal County, Arizona Territory) 1881-1893|sn94052364|25065908|2377-5769|Arizona|Pima, Pinal|Tucson, Florence|33.023904, -111.387583|https://www.loc.gov/item/sn94052364/?st=calendar|244|1881-08-06|1890-12-27|True|English|
Arizona Weekly Journal-Miner (Prescott, Ariz.) 1885-1903|sn85032938|13019318|2166-5877|Arizona|Yavapai|Prescott|34.541852, -112.468708|https://www.loc.gov/item/sn85032938/?st=calendar|861|1886-01-06|1903-03-04|True|English|
Arizona Weekly Miner (Prescott, Ariz.) 1874-1877|sn82014898|8793499|2165-9052|Arizona|Yavapai|Prescott|34.541852, -112.468708|https://www.loc.gov/item/sn82014898/?st=calendar|145|1874-01-02|1877-06-01|True|English|
Arizona Weekly Republican (Phoenix, Ariz.) 1892-1899|sn89077833|19611786|2331-9836|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn89077833/?st=calendar|2|1893-01-19|1893-02-23|True|English|
Arizona's Negro Journal (Tucson, Ariz.) 1942-19??|sn87062100|15305207||Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn87062100/?st=calendar|8|1942-06-12|1942-09-11|True|English|African American
The Arkadelphia Index (Arkadelphia, Ark.) 1908-19??|sn91050174|24773083||Arkansas|Clark|Arkadelphia|34.120959, -93.053523|https://www.loc.gov/item/sn91050174/?st=calendar|1|1908-04-11|1908-04-11||English|
The Arkansas Advocate (Little Rock, A.T. [Ark.]) 1830-1837|sn87062070|2712584|2832-9937|Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn87062070/?st=calendar|327|1830-03-31|1837-04-27|True|English|
The Arkansas Banner (Little Rock, Ark.) 1843-1851|sn82007022|8797601|2833-0013|Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn82007022/?st=calendar|318|1843-09-16|1851-03-04|True|English|
Arkansas Beacon (Searcy, Ark.) 1878-1905|sn91050154|24496975||Arkansas|White|Searcy|35.250783, -91.736336|https://www.loc.gov/item/sn91050154/?st=calendar|7|1884-03-22|1899-05-25||English|
Arkansas County Enterprise (De Witt, Ark.) 1872-18??|sn93050483|28287606||Arkansas|Arkansas|De Witt|34.29288, -91.3379|https://www.loc.gov/item/sn93050483/?st=calendar|2|1873-05-24|1874-05-07||English|
Arkansas Democrat (Little Rock, Ark.) 1878-1991|sn82015489|8819260||Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn82015489/?st=calendar|1|1878-07-09|1878-07-09||English|
Arkansas Democratic Banner (Little Rock [Ark.]) 1851-1852|sn82007020|8797468|2833-1680|Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn82007020/?st=calendar|35|1851-03-11|1851-12-30|True|English|
Arkansas Echo (Little Rock, Ark.) 1891-1932|sn88084068|18357331|2994-3620|Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn88084068/?st=calendar|2096|1891-12-31|1932-08-24|True|German|German
The Arkansas Economist (Searcy, Ark.) 188?-189?|sn91050159|24496798||Arkansas|White|Searcy|35.250783, -91.736336|https://www.loc.gov/item/sn91050159/?st=calendar|1|1890-05-23|1890-05-23||English|
